ForceDecks Raw Data Export,1.0
Weight,53.84
Frequency,500
Recording Date,2024-03-18T16:36:40
Recording Info,ForceDecks.iOS;1.9.0
Data Source,"ForceDecks;FDL2-220804-FW2R6-HW3R5,6263,FDL2-FW2R6-HW3R5,6264 (Post-analysis Trial 2)"
Analysis Date,2024-03-18T16:37:05
AthleteId,76ea55ee-bf21-4e4a-aacb-c4f8484e7d7c

Time,Left,Right
36.806,283.746753,254.331169
36.808,282.746753,254.331169
36.81,280.746753,255.331169
36.812,282.746753,256.331169
36.814,281.746753,255.331169
36.816,283.746753,255.331169
36.818,282.746753,256.331169
36.82,282.746753,255.331169
36.822,281.746753,254.331169
36.824,280.746753,256.331169
36.826,282.746753,254.331169
36.828,280.746753,256.331169
36.83,280.746753,256.331169
36.832,281.746753,255.331169
36.834,281.746753,256.331169
36.836,281.746753,254.331169
36.838,282.746753,255.331169
36.84,281.746753,255.331169
36.842,280.746753,255.331169
36.844,282.746753,254.331169
36.846,282.746753,254.331169
36.848,282.746753,256.331169
36.85,281.746753,257.331169
36.852,281.746753,254.331169
36.854,282.746753,254.331169
36.856,281.746753,256.331169
36.858,281.746753,256.331169
36.86,280.746753,252.331169
36.862,281.746753,254.331169
36.864,280.746753,257.331169
36.866,281.746753,254.331169
36.868,280.746753,255.331169
36.87,278.746753,256.331169
36.872,279.746753,254.331169
36.874,277.746753,255.331169
36.876,279.746753,257.331169
36.878,279.746753,257.331169
36.88,279.746753,254.331169
36.882,277.746753,256.331169
36.884,279.746753,256.331169
36.886,278.746753,257.331169
36.888,279.746753,256.331169
36.89,279.746753,255.331169
36.892,278.746753,254.331169
36.894,279.746753,256.331169
36.896,279.746753,255.331169
36.898,278.746753,255.331169
36.9,276.746753,256.331169
36.902,277.746753,255.331169
36.904,279.746753,253.331169
36.906,277.746753,256.331169
36.908,278.746753,252.331169
36.91,277.746753,255.331169
36.912,278.746753,254.331169
36.914,278.746753,256.331169
36.916,278.746753,253.331169
36.918,278.746753,254.331169
36.92,276.746753,253.331169
36.922,276.746753,253.331169
36.924,277.746753,256.331169
36.926,278.746753,255.331169
36.928,278.746753,254.331169
36.93,277.746753,255.331169
36.932,278.746753,253.331169
36.934,279.746753,256.331169
36.936,277.746753,253.331169
36.938,276.746753,253.331169
36.94,277.746753,255.331169
36.942,275.746753,255.331169
36.944,276.746753,254.331169
36.946,277.746753,252.331169
36.948,278.746753,254.331169
36.95,275.746753,255.331169
36.952,275.746753,254.331169
36.954,275.746753,256.331169
36.956,274.746753,255.331169
36.958,274.746753,255.331169
36.96,274.746753,255.331169
36.962,275.746753,253.331169
36.964,274.746753,254.331169
36.966,273.746753,255.331169
36.968,273.746753,254.331169
36.97,273.746753,255.331169
36.972,273.746753,256.331169
36.974,275.746753,256.331169
36.976,273.746753,253.331169
36.978,274.746753,255.331169
36.98,273.746753,255.331169
36.982,276.746753,254.331169
36.984,276.746753,254.331169
36.986,275.746753,254.331169
36.988,274.746753,251.331169
36.99,272.746753,254.331169
36.992,276.746753,252.331169
36.994,276.746753,253.331169
36.996,277.746753,254.331169
36.998,274.746753,254.331169
37,276.746753,253.331169
37.002,277.746753,253.331169
37.004,277.746753,251.331169
37.006,277.746753,253.331169
37.008,274.746753,251.331169
37.01,275.746753,254.331169
37.012,276.746753,254.331169
37.014,275.746753,253.331169
37.016,277.746753,252.331169
37.018,277.746753,254.331169
37.02,275.746753,255.331169
37.022,277.746753,254.331169
37.024,278.746753,254.331169
37.026,275.746753,254.331169
37.028,275.746753,256.331169
37.03,277.746753,256.331169
37.032,278.746753,255.331169
37.034,275.746753,255.331169
37.036,280.746753,256.331169
37.038,276.746753,257.331169
37.04,275.746753,257.331169
37.042,276.746753,258.331169
37.044,276.746753,256.331169
37.046,275.746753,253.331169
37.048,277.746753,256.331169
37.05,276.746753,256.331169
37.052,276.746753,257.331169
37.054,277.746753,255.331169
37.056,276.746753,259.331169
37.058,277.746753,257.331169
37.06,275.746753,260.331169
37.062,274.746753,257.331169
37.064,277.746753,256.331169
37.066,276.746753,258.331169
37.068,274.746753,258.331169
37.07,276.746753,257.331169
37.072,274.746753,256.331169
37.074,275.746753,255.331169
37.076,275.746753,257.331169
37.078,276.746753,259.331169
37.08,276.746753,257.331169
37.082,275.746753,255.331169
37.084,274.746753,254.331169
37.086,277.746753,256.331169
37.088,274.746753,256.331169
37.09,277.746753,256.331169
37.092,276.746753,257.331169
37.094,277.746753,255.331169
37.096,278.746753,255.331169
37.098,280.746753,256.331169
37.1,278.746753,255.331169
37.102,277.746753,256.331169
37.104,279.746753,255.331169
37.106,280.746753,254.331169
37.108,279.746753,256.331169
37.11,278.746753,255.331169
37.112,281.746753,255.331169
37.114,278.746753,257.331169
37.116,279.746753,256.331169
37.118,280.746753,256.331169
37.12,279.746753,256.331169
37.122,277.746753,255.331169
37.124,278.746753,255.331169
37.126,281.746753,256.331169
37.128,278.746753,253.331169
37.13,279.746753,252.331169
37.132,278.746753,252.331169
37.134,277.746753,252.331169
37.136,279.746753,252.331169
37.138,277.746753,255.331169
37.14,277.746753,252.331169
37.142,276.746753,251.331169
37.144,275.746753,254.331169
37.146,276.746753,253.331169
37.148,276.746753,251.331169
37.15,275.746753,254.331169
37.152,278.746753,254.331169
37.154,276.746753,253.331169
37.156,278.746753,254.331169
37.158,276.746753,253.331169
37.16,275.746753,253.331169
37.162,273.746753,254.331169
37.164,276.746753,253.331169
37.166,277.746753,253.331169
37.168,274.746753,251.331169
37.17,277.746753,255.331169
37.172,275.746753,254.331169
37.174,275.746753,253.331169
37.176,275.746753,251.331169
37.178,275.746753,255.331169
37.18,274.746753,253.331169
37.182,272.746753,255.331169
37.184,273.746753,255.331169
37.186,274.746753,251.331169
37.188,273.746753,255.331169
37.19,275.746753,254.331169
37.192,275.746753,253.331169
37.194,276.746753,253.331169
37.196,272.746753,254.331169
37.198,274.746753,251.331169
37.2,275.746753,253.331169
37.202,273.746753,252.331169
37.204,274.746753,252.331169
37.206,274.746753,249.331169
37.208,274.746753,251.331169
37.21,272.746753,249.331169
37.212,274.746753,250.331169
37.214,272.746753,252.331169
37.216,272.746753,249.331169
37.218,271.746753,251.331169
37.22,275.746753,249.331169
37.222,272.746753,246.331169
37.224,273.746753,249.331169
37.226,271.746753,246.331169
37.228,272.746753,246.331169
37.23,276.746753,247.331169
