ForceDecks Raw Data Export,1.0
Weight,83.54
Frequency,500
Recording Date,2024-03-05T15:53:41
Recording Info,ForceDecks.iOS;1.9.0
Data Source,"ForceDecks;FDL2-220804-FW2R6-HW3R5,6263,FDL2-FW2R6-HW3R5,6264 (Post-analysis Trial 3)"
Analysis Date,2024-03-05T15:53:57
AthleteId,41e5656a-cbbc-402c-9ba6-cee5e1b11b36

Time,Left,Right,,Acceleration,Velocity,Height,Power,Impulse
32.88,291.831169,359.491651,,-2.01011,-0.07689,-0.00216,50.08051,-6.42343
32.882,286.831169,356.491651,,-2.10587,-0.08101,-0.00232,52.1133,-6.76728
32.884,281.831169,351.491651,,-2.22558,-0.08534,-0.00249,54.04644,-7.12913
32.886,275.831169,347.491651,,-2.34528,-0.08991,-0.00266,56.04218,-7.51098
32.888,265.831169,344.491651,,-2.50089,-0.09475,-0.00285,57.8311,-7.91583
32.89,255.831169,337.491651,,-2.70439,-0.09996,-0.00304,59.30868,-8.35068
32.892,251.831169,335.491651,,-2.77621,-0.10544,-0.00325,61.9278,-8.80853
32.894,241.831169,330.491651,,-2.95577,-0.11117,-0.00346,63.62673,-9.28738
32.896,234.831169,325.491651,,-3.09941,-0.11723,-0.00369,65.68551,-9.79322
32.898,222.831169,323.491651,,-3.26699,-0.12359,-0.00393,67.52243,-10.32507
32.9,216.831169,318.491651,,-3.39867,-0.13026,-0.00419,69.73117,-10.88192
32.902,205.831169,312.491651,,-3.60216,-0.13726,-0.00445,71.14544,-11.46677
32.904,197.831169,309.491651,,-3.73384,-0.1446,-0.00474,73.35729,-12.07962
32.906,186.831169,304.491651,,-3.92536,-0.15226,-0.00503,74.80688,-12.71947
32.908,179.831169,299.491651,,-4.06901,-0.16025,-0.00534,76.81169,-13.38732
32.91,170.831169,295.491651,,-4.22462,-0.16854,-0.00567,78.59594,-14.08017
32.912,161.831169,289.491651,,-4.40417,-0.17717,-0.00602,79.96215,-14.80102
